f4829 4.8296590   H2CO
f1612 1.6122310   OH
f1665 1.6654020   OH
f1667 1.6673590   OH
f1720 1.7205300   OH
f6660 4.6602420   OH
f4765 4.7655620   OH
f6016 6.0167460   OH
f6030 6.0307470   OH
f6035 6.0350920   OH
f6049 6.0490840   OH
f4796 4.7975470   CH3OH
f4912 4.9129740   CH3OH vt=0
f4955 4.9552000   CH3OH vt=0
f5005 5.0053020   CH3OH vt=0
f5091 5.0913730   CH3OH vt=2
f6107 6.1074930   CH3OH vt=0
f6181 6.1811280   CH3OH
f6270 6.2708300   CH3OH
f6328 6.3283050   CH3OH
f6335 6.3357270   unknow
f6429 6.4292250   CH3OH vt=2
f6481 6.4810000   unknow
f6553 6.5437330   CH3OH vt=2
f6674 6.6744450   CH3OH
f6668 6.6685192   CH3OH
f6674 6.6744450   CH3OH vt=2
f6745 6.7451230   CH3OH vt=0
f6758 6.7587720   CH3OH vt=0
f6785 6.7853030   unknow
f6964 6.9640000   unknow
f7683 7.6830903   CH3OH vt=0
f7830 7.8308900   CH3OH vt=0
f8176 8.1764050   CH3OH vt=2
f8254 8.2541640   CH3OH vt=0
f8341 8.3415900   CH3OH vt=0
f8465 8.4657560   CH3OH vt=0
f8467 8.4674210   CH3OH
f8518 8.5110710   CH3OH
f8523 8.5234640   CH3OH vt=2
f8655 8.6556090   CH3OH vt=0
f8710 8.7106220   CH3OH
f8724 8.7241440   CH3OH vt=2
f8845 8.8450180   CH3OH vt=2
f8856 8.8564250   CH3OH
f8859 8.8595490   CH3OH
                  
                  
