Start;Header;
Station;IRBENE
End;Header;----------------------;
Scan;2;
Source;s255,061254.02,175923.3;
Date;18 Oct 2017;
TimeStart;08:54:00;UT;
TimeStop;08:57:00;UT;
Duration;180;sec;3;min
RA;06 12 54.02;
DEC;17 59 23.3;
Epoch;2000.0;
Systemtemperature1;1u;44.6;
Systemtemperature2;9u;50.2;
FreqBBC1;567.73;Mhz
FreqBBC2;569.73;Mhz
FreqStart;6667.73;Mhz
FreqStop;6669.73;Mhz
End;2;----------------------;
Scan;3;
Source;s252,060853.34,213829.2;
Date;18 Oct 2017;
TimeStart;08:59:00;UT;
TimeStop;09:02:00;UT;
Duration;180;sec;3;min
RA;06 08 53.34;
DEC;21 38 29.2;
Epoch;2000.0;
Systemtemperature1;1u;44.9;
Systemtemperature2;9u;50.4;
FreqBBC1;567.61;Mhz
FreqBBC2;569.61;Mhz
FreqStart;6667.61;Mhz
FreqStop;6669.61;Mhz
End;3;----------------------;
Scan;4;
Source;s252a,060832.40,203925.3;
Date;18 Oct 2017;
TimeStart;09:04:00;UT;
TimeStop;09:11:00;UT;
Duration;420;sec;7;min
RA;06 08 32.40;
DEC;20 39 25.3;
Epoch;2000.0;
Systemtemperature1;1u;44.3;
Systemtemperature2;9u;50.1;
FreqBBC1;567.72;Mhz
FreqBBC2;569.72;Mhz
FreqStart;6667.72;Mhz
FreqStop;6669.72;Mhz
End;4;----------------------;
Scan;5;
Source;afgl6366,060840.67,213106.9;
Date;18 Oct 2017;
TimeStart;09:13:00;UT;
TimeStop;09:20:00;UT;
Duration;420;sec;7;min
RA;06 08 40.67;
DEC;21 31 06.9;
Epoch;2000.0;
Systemtemperature1;1u;45.0;
Systemtemperature2;9u;50.6;
FreqBBC1;567.65;Mhz
FreqBBC2;569.65;Mhz
FreqStart;6667.65;Mhz
FreqStop;6669.65;Mhz
End;5;----------------------;
Scan;6;
Source;s231,053913.06,354551.3;
Date;18 Oct 2017;
TimeStart;09:22:00;UT;
TimeStop;09:29:00;UT;
Duration;420;sec;7;min
RA;05 39 13.06;
DEC;35 45 51.3;
Epoch;2000.0;
Systemtemperature1;1u;37.9;
Systemtemperature2;9u;42.5;
FreqBBC1;568.19;Mhz
FreqBBC2;570.19;Mhz
FreqStart;6668.19;Mhz
FreqStop;6670.19;Mhz
End;6;----------------------;
Scan;7;
Source;afgl5142,053048.01,334754.6;
Date;18 Oct 2017;
TimeStart;09:31:00;UT;
TimeStop;09:38:00;UT;
Duration;420;sec;7;min
RA;05 30 48.01;
DEC;33 47 54.6;
Epoch;2000.0;
Systemtemperature1;1u;39.7;
Systemtemperature2;9u;44.6;
FreqBBC1;567.85;Mhz
FreqBBC2;569.85;Mhz
FreqStart;6667.85;Mhz
FreqStop;6669.85;Mhz
End;7;----------------------;
Scan;8;
Source;g183p35,055111.10,254616.5;
Date;18 Oct 2017;
TimeStart;09:40:00;UT;
TimeStop;09:47:00;UT;
Duration;420;sec;7;min
RA;05 51 11.10;
DEC;25 46 16.5;
Epoch;2000.0;
Systemtemperature1;1u;42.6;
Systemtemperature2;9u;47.9;
FreqBBC1;567.97;Mhz
FreqBBC2;569.97;Mhz
FreqStart;6667.97;Mhz
FreqStop;6669.97;Mhz
End;8;----------------------;
Scan;9;
Source;g188p79,060906.90,215041.7;
Date;18 Oct 2017;
TimeStart;09:49:00;UT;
TimeStop;09:56:00;UT;
Duration;420;sec;7;min
RA;06 09 06.90;
DEC;21 50 41.7;
Epoch;2000.0;
Systemtemperature1;1u;45.9;
Systemtemperature2;9u;51.6;
FreqBBC1;567.98;Mhz
FreqBBC2;569.98;Mhz
FreqStart;6667.98;Mhz
FreqStop;6669.98;Mhz
End;9;----------------------;
Scan;10;
Source;l1206,222851.41,641341.3;
Date;18 Oct 2017;
TimeStart;09:58:00;UT;
TimeStop;10:05:00;UT;
Duration;420;sec;7;min
RA;22 28 51.41;
DEC;64 13 41.3;
Epoch;2000.0;
Systemtemperature1;1u;32.2;
Systemtemperature2;9u;36.2;
FreqBBC1;568.04;Mhz
FreqBBC2;570.04;Mhz
FreqStart;6668.04;Mhz
FreqStop;6670.04;Mhz
End;10;----------------------;
Scan;11;
Source;l1287,003647.35,632902.2;
Date;18 Oct 2017;
TimeStart;10:07:00;UT;
TimeStop;10:14:00;UT;
Duration;420;sec;7;min
RA;00 36 47.35;
DEC;63 29 02.2;
Epoch;2000.0;
Systemtemperature1;1u;32.5;
Systemtemperature2;9u;36.1;
FreqBBC1;568.36;Mhz
FreqBBC2;570.36;Mhz
FreqStart;6668.36;Mhz
FreqStop;6670.36;Mhz
End;11;----------------------;
Scan;12;
Source;ngc281,005224.20,563343.2;
Date;18 Oct 2017;
TimeStart;10:16:00;UT;
TimeStop;10:23:00;UT;
Duration;420;sec;7;min
RA;00 52 24.20;
DEC;56 33 43.2;
Epoch;2000.0;
Systemtemperature1;1u;34.1;
Systemtemperature2;9u;37.8;
FreqBBC1;568.42;Mhz
FreqBBC2;570.42;Mhz
FreqStart;6668.42;Mhz
FreqStop;6670.42;Mhz
End;12;----------------------;
Scan;13;
Source;w75n,203836.45,423736.1;
Date;18 Oct 2017;
TimeStart;10:25:00;UT;
TimeStop;10:32:00;UT;
Duration;420;sec;7;min
RA;20 38 36.45;
DEC;42 37 36.1;
Epoch;2000.0;
Systemtemperature1;1u;33.7;
Systemtemperature2;9u;37.7;
FreqBBC1;567.47;Mhz
FreqBBC2;569.47;Mhz
FreqStart;6667.47;Mhz
FreqStop;6669.47;Mhz
End;13;----------------------;
Scan;14;
Source;w75s,203902.50,422459.0;
Date;18 Oct 2017;
TimeStart;10:34:00;UT;
TimeStop;10:41:00;UT;
Duration;420;sec;7;min
RA;20 39 02.50;
DEC;42 24 59.0;
Epoch;2000.0;
Systemtemperature1;1u;32.2;
Systemtemperature2;9u;36.1;
FreqBBC1;567.79;Mhz
FreqBBC2;569.79;Mhz
FreqStart;6667.79;Mhz
FreqStop;6669.79;Mhz
End;14;----------------------;
Scan;15;
Source;dr20,203700.10,413455.7;
Date;18 Oct 2017;
TimeStart;10:43:00;UT;
TimeStop;10:50:00;UT;
Duration;420;sec;7;min
RA;20 37 00.10;
DEC;41 34 55.7;
Epoch;2000.0;
Systemtemperature1;1u;31.7;
Systemtemperature2;9u;35.3;
FreqBBC1;567.69;Mhz
FreqBBC2;569.69;Mhz
FreqStart;6667.69;Mhz
FreqStop;6669.69;Mhz
End;15;----------------------;
Scan;16;
Source;dr21,203901.05,422249.2;
Date;18 Oct 2017;
TimeStart;10:52:00;UT;
TimeStop;10:59:00;UT;
Duration;420;sec;7;min
RA;20 39 01.05;
DEC;42 22 49.2;
Epoch;2000.0;
Systemtemperature1;1u;31.4;
Systemtemperature2;9u;35.0;
FreqBBC1;567.66;Mhz
FreqBBC2;569.66;Mhz
FreqStart;6667.66;Mhz
FreqStop;6669.66;Mhz
End;16;----------------------;
Scan;17;
Source;ngc7538,231345.36,612810.6;
Date;18 Oct 2017;
TimeStart;10:59:50;UT;
TimeStop;11:02:50;UT;
Duration;180;sec;3;min
RA;23 13 45.36;
DEC;61 28 10.6;
Epoch;2000.0;
Systemtemperature1;1u;30.8;
Systemtemperature2;9u;34.1;
FreqBBC1;569.02;Mhz
FreqBBC2;571.02;Mhz
FreqStart;6669.02;Mhz
FreqStop;6671.02;Mhz
End;17;----------------------;
Scan;18;
Source;cepa,225617.90,620149.7;
Date;18 Oct 2017;
TimeStart;11:04:51;UT;
TimeStop;11:07:50;UT;
Duration;179;sec;2;min
RA;22 56 17.90;
DEC;62 01 49.7;
Epoch;2000.0;
Systemtemperature1;1u;29.5;
Systemtemperature2;9u;32.8;
FreqBBC1;567.87;Mhz
FreqBBC2;569.87;Mhz
FreqStart;6667.87;Mhz
FreqStop;6669.87;Mhz
End;18;----------------------;
Scan;19;
Source;w3oh,022703.82,615225.4;
Date;18 Oct 2017;
TimeStart;11:09:50;UT;
TimeStop;11:10:50;UT;
Duration;60;sec;1;min
RA;02 27 03.82;
DEC;61 52 25.4;
Epoch;2000.0;
Systemtemperature1;1u;34.4;
Systemtemperature2;9u;38.0;
FreqBBC1;568.85;Mhz
FreqBBC2;570.85;Mhz
FreqStart;6668.85;Mhz
FreqStop;6670.85;Mhz
End;19;----------------------;
Scan;20;
Source;g136p84,024929.80,604729.5;
Date;18 Oct 2017;
TimeStart;11:12:50;UT;
TimeStop;11:19:50;UT;
Duration;420;sec;7;min
RA;02 49 29.80;
DEC;60 47 29.5;
Epoch;2000.0;
Systemtemperature1;1u;30.4;
Systemtemperature2;9u;34.3;
FreqBBC1;568.87;Mhz
FreqBBC2;570.87;Mhz
FreqStart;6668.87;Mhz
FreqStop;6670.87;Mhz
End;20;----------------------;
Scan;21;
Source;v645,213958.26,501420.9;
Date;18 Oct 2017;
TimeStart;11:21:50;UT;
TimeStop;11:28:50;UT;
Duration;420;sec;7;min
RA;21 39 58.26;
DEC;50 14 20.9;
Epoch;2000.0;
Systemtemperature1;1u;28.9;
Systemtemperature2;9u;31.9;
FreqBBC1;568.60;Mhz
FreqBBC2;570.60;Mhz
FreqStart;6668.6;Mhz
FreqStop;6670.6;Mhz
End;21;----------------------;
Scan;22;
Source;g111p26,231610.00,595531.3;
Date;18 Oct 2017;
TimeStart;11:30:50;UT;
TimeStop;11:37:50;UT;
Duration;420;sec;7;min
RA;23 16 10.00;
DEC;59 55 31.3;
Epoch;2000.0;
Systemtemperature1;1u;28.5;
Systemtemperature2;9u;31.6;
FreqBBC1;568.61;Mhz
FreqBBC2;570.61;Mhz
FreqStart;6668.61;Mhz
FreqStop;6670.61;Mhz
End;22;----------------------;
Scan;23;
Source;g90p92,210912.60,500102.9;
Date;18 Oct 2017;
TimeStart;11:39:50;UT;
TimeStop;11:46:50;UT;
Duration;420;sec;7;min
RA;21 09 12.60;
DEC;50 01 02.9;
Epoch;2000.0;
Systemtemperature1;1u;27.6;
Systemtemperature2;9u;30.6;
FreqBBC1;569.23;Mhz
FreqBBC2;571.23;Mhz
FreqStart;6669.23;Mhz
FreqStop;6671.23;Mhz
End;23;----------------------;
Scan;24;
Source;g85p41,205413.70,445406.8;
Date;18 Oct 2017;
TimeStart;11:48:50;UT;
TimeStop;11:55:50;UT;
Duration;420;sec;7;min
RA;20 54 13.70;
DEC;44 54 06.8;
Epoch;2000.0;
Systemtemperature1;1u;27.4;
Systemtemperature2;9u;30.6;
FreqBBC1;568.26;Mhz
FreqBBC2;570.26;Mhz
FreqStart;6668.26;Mhz
FreqStop;6670.26;Mhz
End;24;----------------------;
Scan;25;
Source;g78p122,201426.04,411333.4;
Date;18 Oct 2017;
TimeStart;11:57:50;UT;
TimeStop;12:04:50;UT;
Duration;420;sec;7;min
RA;20 14 26.04;
DEC;41 13 33.4;
Epoch;2000.0;
Systemtemperature1;1u;27.1;
Systemtemperature2;9u;30.5;
FreqBBC1;567.77;Mhz
