Start;Header;
Station;IRBENE
End;Header;----------------------;
Scan;01;
Source;s269,061437.05,133936.2;
Date;27 Jun 2017;
TimeStart;15:50:00;UT;
TimeStop;15:57:00;UT;
Duration;420;sec;7;min
RA;06 14 37.05;
DEC;13 39 36.2;
Epoch;2000.0;
Systemtemperature1;1u;34.3;
Systemtemperature2;9u;34.9;
FreqBBC1;566.89;MHz
FreqBBC2;568.89;MHz
FreqStart;6666.89;MHz
FreqStop;6668.89;MHz
End;01;----------------------;
Scan;02;
Source;s255,061254.02,175923.3;
Date;27 Jun 2017;
TimeStart;15:59:00;UT;
TimeStop;16:02:00;UT;
Duration;180;sec;3;min
RA;06 12 54.02;
DEC;17 59 23.3;
Epoch;2000.0;
Systemtemperature1;1u;32.8;
Systemtemperature2;9u;33.4;
FreqBBC1;567.15;MHz
FreqBBC2;569.15;MHz
FreqStart;6667.15;MHz
FreqStop;6669.15;MHz
End;02;----------------------;
Scan;03;
Source;s252,060853.34,223829.2;
Date;27 Jun 2017;
TimeStart;16:04:00;UT;
TimeStop;16:07:00;UT;
Duration;180;sec;3;min
RA;06 08 53.34;
DEC;22 38 29.2;
Epoch;2000.0;
Systemtemperature1;1u;30.8;
Systemtemperature2;9u;31.4;
FreqBBC1;567.05;MHz
FreqBBC2;569.05;MHz
FreqStart;6667.05;MHz
FreqStop;6669.05;MHz
End;03;----------------------;
Scan;04;
Source;s252a,060832.40,203925.3;
Date;27 Jun 2017;
TimeStart;16:09:00;UT;
TimeStop;16:16:00;UT;
Duration;420;sec;7;min
RA;06 08 32.40;
DEC;20 39 25.3;
Epoch;2000.0;
Systemtemperature1;1u;32.3;
Systemtemperature2;9u;32.8;
FreqBBC1;567.16;MHz
FreqBBC2;569.16;MHz
FreqStart;6667.16;MHz
FreqStop;6669.16;MHz
End;04;----------------------;
Scan;05;
Source;afgl6366,060840.67,213106.9;
Date;27 Jun 2017;
TimeStart;16:18:00;UT;
TimeStop;16:25:00;UT;
Duration;420;sec;7;min
RA;06 08 40.67;
DEC;21 31 06.9;
Epoch;2000.0;
Systemtemperature1;1u;32.6;
Systemtemperature2;9u;33.3;
FreqBBC1;567.09;MHz
FreqBBC2;569.09;MHz
FreqStart;6667.09;MHz
FreqStop;6669.09;MHz
End;05;----------------------;
Scan;06;
Source;s231,053913.06,354551.3;
Date;27 Jun 2017;
TimeStart;16:27:00;UT;
TimeStop;16:34:00;UT;
Duration;420;sec;7;min
RA;05 39 13.06;
DEC;35 45 51.3;
Epoch;2000.0;
Systemtemperature1;1u;28.3;
Systemtemperature2;9u;28.9;
FreqBBC1;567.74;MHz
FreqBBC2;569.74;MHz
FreqStart;6667.74;MHz
FreqStop;6669.74;MHz
End;06;----------------------;
Scan;07;
Source;afgl5142,053048.01,334754.6;
Date;27 Jun 2017;
TimeStart;16:36:00;UT;
TimeStop;16:43:00;UT;
Duration;420;sec;7;min
RA;05 30 48.01;
DEC;33 47 54.6;
Epoch;2000.0;
Systemtemperature1;1u;29.8;
Systemtemperature2;9u;30.6;
FreqBBC1;567.43;MHz
FreqBBC2;569.43;MHz
FreqStart;6667.43;MHz
FreqStop;6669.43;MHz
End;07;----------------------;
Scan;08;
Source;g183p35,055111.10,254616.5;
Date;27 Jun 2017;
TimeStart;16:45:00;UT;
TimeStop;16:52:00;UT;
Duration;420;sec;7;min
RA;05 51 11.10;
DEC;25 46 16.5;
Epoch;2000.0;
Systemtemperature1;1u;34.2;
Systemtemperature2;9u;34.7;
FreqBBC1;567.47;MHz
FreqBBC2;569.47;MHz
FreqStart;6667.47;MHz
FreqStop;6669.47;MHz
End;08;----------------------;
Scan;09;
Source;g188p79,060906.90,215041.7;
Date;27 Jun 2017;
TimeStart;16:54:00;UT;
TimeStop;17:01:00;UT;
Duration;420;sec;7;min
RA;06 09 06.90;
DEC;21 50 41.7;
Epoch;2000.0;
Systemtemperature1;1u;35.7;
Systemtemperature2;9u;36.3;
FreqBBC1;567.41;MHz
FreqBBC2;569.41;MHz
FreqStart;6667.41;MHz
FreqStop;6669.41;MHz
End;09;----------------------;
Scan;10;
Source;l1206,222851.41,641341.3;
Date;27 Jun 2017;
TimeStart;17:03:00;UT;
TimeStop;17:10:00;UT;
Duration;420;sec;7;min
RA;22 28 51.41;
DEC;64 13 41.3;
Epoch;2000.0;
Systemtemperature1;1u;25.9;
Systemtemperature2;9u;26.7;
FreqBBC1;568.31;MHz
FreqBBC2;570.31;MHz
FreqStart;6668.31;MHz
FreqStop;6670.31;MHz
End;10;----------------------;
Scan;11;
Source;l1287,003647.35,632902.2;
Date;27 Jun 2017;
TimeStart;17:12:00;UT;
TimeStop;17:19:00;UT;
Duration;420;sec;7;min
RA;00 36 47.35;
DEC;63 29 02.2;
Epoch;2000.0;
Systemtemperature1;1u;26.3;
Systemtemperature2;9u;27.1;
FreqBBC1;568.55;MHz
FreqBBC2;570.55;MHz
FreqStart;6668.55;MHz
FreqStop;6670.55;MHz
End;11;----------------------;
Scan;12;
Source;ngc281,005224.20,563343.2;
Date;27 Jun 2017;
TimeStart;17:21:00;UT;
TimeStop;17:28:00;UT;
Duration;420;sec;7;min
RA;00 52 24.20;
DEC;56 33 43.2;
Epoch;2000.0;
Systemtemperature1;1u;28.3;
Systemtemperature2;9u;29.2;
FreqBBC1;568.69;MHz
FreqBBC2;570.69;MHz
FreqStart;6668.69;MHz
FreqStop;6670.69;MHz
End;12;----------------------;
Scan;13;
Source;w75n,203836.45,423736.1;
Date;27 Jun 2017;
TimeStart;17:30:00;UT;
TimeStop;17:37:00;UT;
Duration;420;sec;7;min
RA;20 38 36.45;
DEC;42 37 36.1;
Epoch;2000.0;
Systemtemperature1;1u;28.3;
Systemtemperature2;9u;29.0;
FreqBBC1;568.05;MHz
FreqBBC2;570.05;MHz
FreqStart;6668.05;MHz
FreqStop;6670.05;MHz
End;13;----------------------;
Scan;14;
Source;w75s,203902.50,422459.0;
Date;27 Jun 2017;
TimeStart;17:39:00;UT;
TimeStop;17:46:00;UT;
Duration;420;sec;7;min
RA;20 39 02.50;
DEC;42 24 59.0;
Epoch;2000.0;
Systemtemperature1;1u;27.6;
Systemtemperature2;9u;28.3;
FreqBBC1;568.37;MHz
FreqBBC2;570.37;MHz
FreqStart;6668.37;MHz
FreqStop;6670.37;MHz
End;14;----------------------;
Scan;15;
Source;dr20,203700.10,413455.7;
Date;27 Jun 2017;
TimeStart;17:48:00;UT;
TimeStop;17:55:00;UT;
Duration;420;sec;7;min
RA;20 37 00.10;
DEC;41 34 55.7;
Epoch;2000.0;
Systemtemperature1;1u;27.8;
Systemtemperature2;9u;28.6;
FreqBBC1;568.27;MHz
FreqBBC2;570.27;MHz
FreqStart;6668.27;MHz
FreqStop;6670.27;MHz
End;15;----------------------;
Scan;16;
Source;dr21,203901.05,422249.2;
Date;27 Jun 2017;
TimeStart;17:57:00;UT;
TimeStop;18:04:00;UT;
Duration;420;sec;7;min
RA;20 39 01.05;
DEC;42 22 49.2;
Epoch;2000.0;
Systemtemperature1;1u;27.9;
Systemtemperature2;9u;28.6;
FreqBBC1;568.24;MHz
FreqBBC2;570.24;MHz
FreqStart;6668.24;MHz
FreqStop;6670.24;MHz
End;16;----------------------;
Scan;17;
Source;ngc7538,231345.36,612810.6;
Date;27 Jun 2017;
TimeStart;18:04:50;UT;
TimeStop;18:07:50;UT;
Duration;180;sec;3;min
RA;23 13 45.36;
DEC;61 28 10.6;
Epoch;2000.0;
Systemtemperature1;1u;27.7;
Systemtemperature2;9u;28.3;
FreqBBC1;569.32;MHz
FreqBBC2;571.32;MHz
FreqStart;6669.32;MHz
FreqStop;6671.32;MHz
End;17;----------------------;
Scan;18;
Source;cepa,225617.90,620149.7;
Date;27 Jun 2017;
TimeStart;18:09:50;UT;
TimeStop;18:12:50;UT;
Duration;180;sec;3;min
RA;22 56 17.90;
DEC;62 01 49.7;
Epoch;2000.0;
Systemtemperature1;1u;26.4;
Systemtemperature2;9u;27.1;
FreqBBC1;568.17;MHz
FreqBBC2;570.17;MHz
FreqStart;6668.17;MHz
FreqStop;6670.17;MHz
End;18;----------------------;
Scan;19;
Source;w3oh,022703.82,615225.4;
Date;27 Jun 2017;
TimeStart;18:14:50;UT;
TimeStop;18:15:50;UT;
Duration;60;sec;1;min
RA;02 27 03.82;
DEC;61 52 25.4;
Epoch;2000.0;
Systemtemperature1;1u;34.8;
Systemtemperature2;9u;35.1;
FreqBBC1;568.88;MHz
FreqBBC2;570.88;MHz
FreqStart;6668.88;MHz
FreqStop;6670.88;MHz
End;19;----------------------;
Scan;20;
Source;g136p84,024929.80,604729.5;
Date;27 Jun 2017;
TimeStart;18:17:50;UT;
TimeStop;18:24:50;UT;
Duration;420;sec;7;min
RA;02 49 29.80;
DEC;60 47 29.5;
Epoch;2000.0;
Systemtemperature1;1u;26.8;
Systemtemperature2;9u;27.7;
FreqBBC1;568.87;MHz
FreqBBC2;570.87;MHz
FreqStart;6668.87;MHz
FreqStop;6670.87;MHz
End;20;----------------------;
Scan;21;
Source;g111p26,231610.00,595531.3;
Date;27 Jun 2017;
TimeStart;18:26:50;UT;
TimeStop;18:33:50;UT;
Duration;420;sec;7;min
RA;23 16 10.00;
DEC;59 55 31.3;
Epoch;2000.0;
Systemtemperature1;1u;26.1;
Systemtemperature2;9u;26.9;
FreqBBC1;568.93;MHz
FreqBBC2;570.93;MHz
FreqStart;6668.93;MHz
FreqStop;6670.93;MHz
End;21;----------------------;
Scan;22;
Source;g90p92,210912.60,500102.9;
Date;27 Jun 2017;
TimeStart;18:35:50;UT;
TimeStop;18:42:50;UT;
Duration;420;sec;7;min
RA;21 09 12.60;
DEC;50 01 02.9;
Epoch;2000.0;
Systemtemperature1;1u;25.5;
Systemtemperature2;9u;26.2;
FreqBBC1;569.73;MHz
FreqBBC2;571.73;MHz
FreqStart;6669.73;MHz
FreqStop;6671.73;MHz
End;22;----------------------;
Scan;23;
Source;g85p41,205413.70,445406.8;
Date;27 Jun 2017;
TimeStart;18:44:50;UT;
TimeStop;18:51:50;UT;
Duration;420;sec;7;min
RA;20 54 13.70;
DEC;44 54 06.8;
Epoch;2000.0;
Systemtemperature1;1u;25.8;
Systemtemperature2;9u;26.6;
FreqBBC1;568.81;MHz
FreqBBC2;570.81;MHz
FreqStart;6668.81;MHz
FreqStop;6670.81;MHz
End;23;----------------------;
Scan;24;
Source;g78p122,201426.04,411333.4;
Date;27 Jun 2017;
TimeStart;18:53:50;UT;
TimeStop;19:00:50;UT;
Duration;420;sec;7;min
RA;20 14 26.04;
DEC;41 13 33.4;
Epoch;2000.0;
Systemtemperature1;1u;25.4;
Systemtemperature2;9u;26.2;
FreqBBC1;568.33;MHz
FreqBBC2;570.33;MHz
FreqStart;6668.33;MHz
FreqStop;6670.33;MHz
End;24;----------------------;
Scan;25;
Source;g75p78,202144.20,372636.7;
Date;27 Jun 2017;
