Source,Parrallex,Distance,Flux,Cflux,X,Y
g22p357,*,*,*,*,*,*
g24p33,*,*,*,*,*,*
g25p65,*,2.08,126,136.2816,*,*
g25p710,*,10.1,*,*,*,*
g30p99,*,*,*,*,*,*
g32p745,0.126,7.93650793650794,42.2,664.525069286974,7.87359124141215,0.997356099601026
g33p64,*,*,*,*,*,*
g35p20,0.456,2.19298245614035,32,38.4733764235149,1.96890595791123,0.965702532792068
g34p403,*,*,*,*,*,*
g36p7,*,*,*,*,*,*
g37p479,0.088,11.3636363636364,8.7,280.862603305785,11.3196647509744,0.998709832987333
g37p55,*,*,*,*,*,*
w49n,0.09,11.1111111111111,35.5,1095.67901234568,11.066141477911,0.998650546644567
g43p79,0.166,6.02409638554217,17.4,157.860357091015,5.94128680622648,0.995413656959431
w51,0.185,5.40540540540541,783,5719.50328707085,5.31316892232558,0.994305586638061
g50p03,*,*,*,*,*,*
s255,0.628,1.59235668789809,186,117.90539169946,1.28854168947139,0.935553384894732
afgl5142,*,*,*,*,*,*
s252,0.476,2.10084033613445,770,849.604547701433,1.86730029118884,0.962662838409997
g59p783,0.463,2.15982721382289,38.8,45.2490798576287,1.93243331094855,0.964652835120689
g60p57,*,*,*,*,*,*
g183p35,*,2.1,15,16.5375,*,*
on1,0.425,2.35294117647059,92,127.335640138408,2.14362054812714,0.970166545278647
s231,*,*,*,*,*,*
g75p78,0.281,3.55871886120996,63,199.465558946822,3.419140933027,0.986891692756
g78p12,*,1.64,28.5,19.1634,*,*
w75n,*,1.4,282,138.18,*,*
g90p92,0.171,5.84795321637427,53.1,453.985841797476,5.7626613555342,0.995133620341953
v645,0.28,3.57142857142857,4.1,13.0739795918367,3.43234085110989,0.986984459157549
ngc281,0.421,2.37529691211401,46.8,66.0118144221709,2.16788770399709,0.970720517737509
ngc7538,0.378,2.64550264550265,230,402.424344223286,2.45874237749239,0.976355554336924
cepa,1.43,0.699300699300699,621,75.9205829135899,0.098133990102613,0.6923808114246
w3oh,0.512,1.953125,3050,2908.70666503906,1.70266876623917,0.956878434336663
l1287,1.077,0.928505106778087,7.5,1.61647824996185,0.440085527065495,0.817585752187789
g107p3,*,0.75,27.5,3.8671875,*,*
l1206,0.227,4.40528634361233,38.5,186.788022278717,4.29227288570304,0.991433933187589
g196p454,0.241,4.149377593361,*,*,4.02945969542022,0.990347906177568
g45p071,0.13,7.69230769230769,*,*,7.62739918242144,0.997185712459191
g85p41,* ,5.5,*,*,*,*
g37p43,0.53,1.88679245283019,*,*,1.62793786889578,0.953836492839335
g111p26,*,3.3,*,*,*,*
